speaker,sentence,answer_to_give,answer_0,answer_1,answer_2
President Donald J. Trump,"Well, you’re certainly going to socialist.",0,Not given,Not given,Not given
President Donald J. Trump,You’re going to socialist medicine-,0,Not given,Not given,Not given
Chris Wallace,"Gentlemen, we’re now into open discussion.",0,Not given,Not given,Not given
Vice President Joe Biden,Open discussion.,0,Not given,Not given,Not given
Chris Wallace,"Open discussion, yes, I agree.",0,Not given,Not given,Not given
Chris Wallace,"Go ahead, Vice President.",0,Not given,Not given,Not given
Vice President Joe Biden,"Number one, he knows what I proposed.",0,Not given,Not given,Not given
Vice President Joe Biden,What I proposed is that we expand Obamacare and we increase it.,0,Not given,Not given,Not given
Vice President Joe Biden,We do not wipe any.,0,Not given,Not given,Not given
Vice President Joe Biden,"And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still.",0,Not given,Not given,Not given
Vice President Joe Biden,They can.,0,Not given,Not given,Not given
Vice President Joe Biden,They do.,1,Not Claim,Not given,Not given
Vice President Joe Biden,They will under my proposal.,0,Not given,Not given,Not given
President Donald J. Trump,That’s not what you’ve said and it’s not what your party is saying.,0,Not given,Not given,Not given
Vice President Joe Biden,That is simply a lie.,0,Not given,Not given,Not given
President Donald J. Trump,Your party doesn’t say it.,0,Not given,Not given,Not given
President Donald J. Trump,Your party wants to go socialist medicine and socialist healthcare.,0,Not given,Not given,Not given
Vice President Joe Biden,The party is me.,0,Not given,Not given,Not given
Vice President Joe Biden,"Right now, I am the Democratic Party.",0,Not given,Not given,Not given
President Donald J. Trump,"And they’re going to dominate you, Joe.",0,Not given,Not given,Not given
President Donald J. Trump,You know that.,0,Not given,Not given,Not given
Vice President Joe Biden,I am the Democratic Party right now.,0,Not given,Not given,Not given
President Donald J. Trump,Not according to Harris.,1,Claim,Not given,Not given
Vice President Joe Biden,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of.",0,Not given,Not given,Not given
Vice President Joe Biden,"Now, here’s the deal.",0,Not given,Not given,Not given
Vice President Joe Biden,The deal is that it’s going to wipe out pre-existing conditions.,0,Not given,Not given,Not given
Vice President Joe Biden,"And, by the way, the 20, the 200 mil- the 200,000 people that have died on his watch, how many of those have survived?",0,Not given,Not given,Not given
Vice President Joe Biden,"Well, there’s seven million people that contracted COVID.",0,Not given,Not given,Not given
Vice President Joe Biden,What does it mean for them going forward if you strike down the Affordable Care Act?,0,Not given,Not given,Not given
President Donald J. Trump,"Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military.",0,Not given,Not given,Not given
President Donald J. Trump,So don’t tell me about this.,0,Not given,Not given,Not given
Vice President Joe Biden,I’m happy to talk about this.,0,Not given,Not given,Not given
President Donald J. Trump,"And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw.",0,Not given,Not given,Not given
President Donald J. Trump,"You didn’t want me to ban China, which was heavily infected.",0,Not given,Not given,Not given
President Donald J. Trump,You didn’t want me to ban Europe.,0,Not given,Not given,Not given
Chris Wallace,"All right, gentlemen, Mr. President.",0,Not given,Not given,Not given
President Donald J. Trump,"You would have been much later, Joe, much later.",0,Not given,Not given,Not given
Chris Wallace,Mr. President.,0,Not given,Not given,Not given
President Donald J. Trump,We’re talking about two million people.,0,Not given,Not given,Not given
Vice President Joe Biden,You’re not going to be able to shut him up.,0,Not given,Not given,Not given
Chris Wallace,"Mr. President, as the moderator, we are going to talk about COVID in the next segment.",0,Not given,Not given,Not given
Chris Wallace,But go ahead.,0,Not given,Not given,Not given
Vice President Joe Biden,Let me finish.,0,Not given,Not given,Not given
Vice President Joe Biden,The point is that the President also is opposed to Roe V. Wade.,0,Not given,Not given,Not given
Vice President Joe Biden,"That’s on the ballot as well and the court, in the court, and so that’s also at stake right now.",0,Not given,Not given,Not given
Vice President Joe Biden,And so the election is all-,0,Not given,Not given,Not given
President Donald J. Trump,You don’t know what’s on the ballot.,0,Not given,Not given,Not given
President Donald J. Trump,Why is it on the ballot?,0,Not given,Not given,Not given
President Donald J. Trump,Why is it on the ballot?,0,Not given,Not given,Not given
President Donald J. Trump,It’s not on the ballot.,0,Not given,Not given,Not given
Vice President Joe Biden,It’s on the ballot in the court.,0,Not given,Not given,Not given
President Donald J. Trump,I don’t think so.,0,Not given,Not given,Not given
Vice President Joe Biden,In the court.,0,Not given,Not given,Not given
President Donald J. Trump,There’s nothing happening there.,0,Not given,Not given,Not given
Vice President Joe Biden,Donald would you just be quiet for a minute.,0,Not given,Not given,Not given
President Donald J. Trump,You don’t know her view on Roe V. Wade?,0,Not given,Not given,Not given
President Donald J. Trump,You don’t know here view.,0,Not given,Not given,Not given
Chris Wallace,"Well, all right.",0,Not given,Not given,Not given
Chris Wallace,All right.,0,Not given,Not given,Not given
Chris Wallace,Let’s talk.,0,Not given,Not given,Not given
Chris Wallace,"We’ve got a lot to unpack here, gentlemen.",0,Not given,Not given,Not given
Chris Wallace,We’ve got a lot of time.,0,Not given,Not given,Not given
Chris Wallace,"On healthcare, and then we’ll come back to Roe V. Wade.",0,Not given,Not given,Not given
Vice President Joe Biden,All right.,0,Not given,Not given,Not given
Chris Wallace,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare.",0,Not given,Not given,Not given
President Donald J. Trump,That’s right.,0,Not given,Not given,Not given
Chris Wallace,You have spent the last week-,0,Not given,Not given,Not given
President Donald J. Trump,Because they want to give good healthcare.,0,Not given,Not given,Not given
Chris Wallace,"If I may ask my question, sir.",0,Not given,Not given,Not given
Vice President Joe Biden,Good healthcare.,0,Not given,Not given,Not given
Chris Wallace,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare.",0,Not given,Not given,Not given
President Donald J. Trump,"Yes, I have.",0,Not given,Not given,Not given
President Donald J. Trump,"Of course, I have.",0,Not given,Not given,Not given
President Donald J. Trump,The individual mandate.,0,Not given,Not given,Not given
Chris Wallace,[crosstalk 00:11:26] when I finish I’m going to give an opportunity-,0,Not given,Not given,Not given
President Donald J. Trump,Excuse me.,0,Not given,Not given,Not given
President Donald J. Trump,"I got rid of the individual mandate, which was a big chunk of Obamacare.",0,Not given,Not given,Not given
Chris Wallace,That’s not a comprehensive place.,0,Not given,Not given,Not given
President Donald J. Trump,That is absolutely a big thing.,0,Not given,Not given,Not given
President Donald J. Trump,That was the worst part of Obamacare.,0,Not given,Not given,Not given
Chris Wallace,"I didn’t ask, sir.",0,Not given,Not given,Not given
President Donald J. Trump,"Chris, that was the worst part of Obamacare.",0,Not given,Not given,Not given
Chris Wallace,You’re debating him not me.,0,Not given,Not given,Not given
Chris Wallace,Let me ask my question.,0,Not given,Not given,Not given
President Donald J. Trump,"Well, I’ll ask Joe.",0,Not given,Not given,Not given
President Donald J. Trump,The individual mandate was the most unpopular aspect of Obamacare.,0,Not given,Not given,Not given
Chris Wallace,Mr. President.,0,Not given,Not given,Not given
President Donald J. Trump,I got rid of it.,0,Not given,Not given,Not given
President Donald J. Trump,And we will protect people.,0,Not given,Not given,Not given
Chris Wallace,"Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer.",0,Not given,Not given,Not given
President Donald J. Trump,Go ahead.,0,Not given,Not given,Not given
Chris Wallace,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate.",0,Not given,Not given,Not given
Chris Wallace,"So my question, sir, is what is the Trump healthcare plan?",0,Not given,Not given,Not given
President Donald J. Trump,"Well, first of all, I guess I’m debating you, not him, but that’s okay.",0,Not given,Not given,Not given
President Donald J. Trump,I’m not surprised.,0,Not given,Not given,Not given
President Donald J. Trump,Let me just tell you something.,0,Not given,Not given,Not given
President Donald J. Trump,There’s nothing symbolic.,0,Not given,Not given,Not given
President Donald J. Trump,I’m cutting drug prices.,0,Not given,Not given,Not given
President Donald J. Trump,"I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma.",0,Not given,Not given,Not given
President Donald J. Trump,Drug prices will be coming down 80 or 90%.,0,Not given,Not given,Not given
President Donald J. Trump,"You could have done it during your 47 year period in government, but you didn’t do it.",0,Not given,Not given,Not given
President Donald J. Trump,Nobody’s done it.,0,Not given,Not given,Not given
President Donald J. Trump,So we’re cutting healthcare.,0,Not given,Not given,Not given
Chris Wallace,What about pre-existing conditions?,0,Not given,Not given,Not given
President Donald J. Trump,All of the things that we’ve done.,1,Not Claim,Not given,Not given
Vice President Joe Biden,He has not done healthcare.,0,Not given,Not given,Not given
President Donald J. Trump,I’ll give you an example.,0,Not given,Not given,Not given
President Donald J. Trump,"Insulin, it was destroying families, destroying people, the cost.",0,Not given,Not given,Not given
President Donald J. Trump,"I’m getting it for so cheap it’s like water, you want to know the truth.",0,Not given,Not given,Not given
President Donald J. Trump,So cheap.,0,Not given,Not given,Not given
President Donald J. Trump,Take a look at all of the drugs that what we’re doing.,0,Not given,Not given,Not given
President Donald J. Trump,"Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.",0,Not given,Not given,Not given
Chris Wallace,"Okay, like I say, this is open discussion.",0,Not given,Not given,Not given
President Donald J. Trump,This is big stuff.,0,Not given,Not given,Not given
Chris Wallace,"Sir, you’ll be happy.",0,Not given,Not given,Not given
Chris Wallace,"I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare.",0,Not given,Not given,Not given
Vice President Joe Biden,Yes.,0,Not given,Not given,Not given
Chris Wallace,And the argument that he makes and other Republicans make is that that is going to end private insurance.,0,Not given,Not given,Not given
Vice President Joe Biden,It is not.,0,Not given,Not given,Not given
Chris Wallace,If I start asking the question.,0,Not given,Not given,Not given
President Donald J. Trump,"That’s not what your party says, by the way.",0,Not given,Not given,Not given
Chris Wallace,And it will end private insurance and create a government takeover of health.,0,Not given,Not given,Not given
Vice President Joe Biden,It does not.,0,Not given,Not given,Not given
Vice President Joe Biden,"It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid.",0,Not given,Not given,Not given
Vice President Joe Biden,"Anyone who qualifies for Medicare, excuse me, Medicaid would automatically be enrolled in the public option.",0,Not given,Not given,Not given
Vice President Joe Biden,The vast majority of the American people would still not be in that option.,0,Not given,Not given,Not given
Vice President Joe Biden,Number one.,0,Not given,Not given,Not given
Vice President Joe Biden,Number two.,0,Not given,Not given,Not given
President Donald J. Trump,"Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it.",0,Not given,Not given,Not given
President Donald J. Trump,And that gives you socialized medicine.,0,Not given,Not given,Not given
Vice President Joe Biden,"Look, hey.",0,Not given,Not given,Not given
President Donald J. Trump,Are you saying you didn’t agree?,0,Not given,Not given,Not given
Vice President Joe Biden,I’m not going to listen to him.,0,Not given,Not given,Not given
Vice President Joe Biden,The fact of the matter is I beat Bernie Sanders.,0,Not given,Not given,Not given
President Donald J. Trump,Not by much.,0,Not given,Not given,Not given
Vice President Joe Biden,I beat him by a whole hell of a lot.,0,Not given,Not given,Not given
President Donald J. Trump,Not by much.,0,Not given,Not given,Not given
Vice President Joe Biden,"I’m here standing facing you, old buddy.",0,Not given,Not given,Not given
President Donald J. Trump,If Pocahontas would have left two days early you would have lost every primary.,0,Not given,Not given,Not given
Vice President Joe Biden,All he knows how to do-,0,Not given,Not given,Not given
President Donald J. Trump,"On Super Tuesday, you got very lucky.",0,Not given,Not given,Not given
Vice President Joe Biden,Look he’s the deal.,0,Not given,Not given,Not given
Vice President Joe Biden,I got very lucky.,0,Not given,Not given,Not given
Vice President Joe Biden,I’m going to get very lucky tonight as well.,0,Not given,Not given,Not given
President Donald J. Trump,With what?,1,Not Claim,Not given,Not given
Vice President Joe Biden,And tonight I’m going to make sure.,0,Not given,Not given,Not given
President Donald J. Trump,With what?,0,Not given,Not given,Not given
Vice President Joe Biden,"Because here’s the deal, here’s the deal.",0,Not given,Not given,Not given
Vice President Joe Biden,The fact is that everything he’s saying so far is simply a lie.,1,Claim,Not given,Not given
Vice President Joe Biden,I’m not here to call out his lies.,0,Not given,Not given,Not given
Vice President Joe Biden,Everybody knows he’s a liar.,0,Not given,Not given,Not given
President Donald J. Trump,But you agree.,0,Not given,Not given,Not given
President Donald J. Trump,"Joe, you’re the liar.",0,Not given,Not given,Not given
President Donald J. Trump,You graduated last in your class not first in your class.,0,Not given,Not given,Not given
Vice President Joe Biden,"God, I want to make sure-",0,Not given,Not given,Not given
Chris Wallace,"Mr. President, can you let him finish, sir?",0,Not given,Not given,Not given
Vice President Joe Biden,"No, he doesn’t know how to do that.",0,Not given,Not given,Not given
President Donald J. Trump,You’d be surprised.,0,Not given,Not given,Not given
President Donald J. Trump,You’d be surprised.,0,Not given,Not given,Not given
President Donald J. Trump,"Go ahead, Joe.",0,Not given,Not given,Not given
Vice President Joe Biden,"The wrong guy, the wrong night, at the wrong time.",0,Not given,Not given,Not given
President Donald J. Trump,"Listen, you agreed with Bernie Sanders and the manifesto.",0,Not given,Not given,Not given
Vice President Joe Biden,"There is no manifesto, number one.",0,Not given,Not given,Not given
Chris Wallace,"Please let him speak, Mr. President.",0,Not given,Not given,Not given
Vice President Joe Biden,Number two.,0,Not given,Not given,Not given
President Donald J. Trump,He just lost the left.,0,Not given,Not given,Not given
Vice President Joe Biden,Number two.,0,Not given,Not given,Not given
President Donald J. Trump,You just lost the left.,0,Not given,Not given,Not given
President Donald J. Trump,"You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine.",0,Not given,Not given,Not given
Chris Wallace,Mr. President.,0,Not given,Not given,Not given
Vice President Joe Biden,"I’ll tell you what, he is not for any help for people needing healthcare.",0,Not given,Not given,Not given
President Donald J. Trump,"Who is, Bernie?",0,Not given,Not given,Not given
Vice President Joe Biden,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession.",0,Not given,Not given,Not given
Vice President Joe Biden,Number one.,0,Not given,Not given,Not given
Vice President Joe Biden,"Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away.",0,Not given,Not given,Not given
Vice President Joe Biden,He won’t ever look you in the eye and say that’s what he wants to do.,0,Not given,Not given,Not given
Vice President Joe Biden,Take it away.,0,Not given,Not given,Not given
President Donald J. Trump,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good.",0,Not given,Not given,Not given
Vice President Joe Biden,He doesn’t know how.,0,Not given,Not given,Not given
Vice President Joe Biden,He doesn’t know how to do that.,0,Not given,Not given,Not given
President Donald J. Trump,I’ve already fixed it.,0,Not given,Not given,Not given
Vice President Joe Biden,He has never offered a plan.,0,Not given,Not given,Not given
President Donald J. Trump,We’ve already fixed it to an extent.,0,Not given,Not given,Not given
President Donald J. Trump,"Obamacare, as you might know but probably don’t, Obamacare is no good.",0,Not given,Not given,Not given
Chris Wallace,"Gentlemen, you realize if you’re both speaking at the same time.",0,Not given,Not given,Not given
Chris Wallace,Let the President.,0,Not given,Not given,Not given
Chris Wallace,"Go ahead, sir.",0,Not given,Not given,Not given
President Donald J. Trump,Obamacare is no good.,0,Not given,Not given,Not given
President Donald J. Trump,We made it better and I had a choice to make very early on.,0,Not given,Not given,Not given
President Donald J. Trump,We took away the individual mandate.,0,Not given,Not given,Not given
President Donald J. Trump,"We guaranteed pre-existing conditions, but took away the individual mandate.",0,Not given,Not given,Not given
President Donald J. Trump,"Listen, this is the way it is.",0,Not given,Not given,Not given
President Donald J. Trump,"And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly?",0,Not given,Not given,Not given
President Donald J. Trump,"If I run it badly, they’ll probably blame him, but they’ll blame me.",0,Not given,Not given,Not given
President Donald J. Trump,"But more importantly, I want to help people.",0,Not given,Not given,Not given
President Donald J. Trump,Okay.,0,Not given,Not given,Not given
President Donald J. Trump,"I said, “You’ve got to run it so well.” And I just had a meeting with them.",0,Not given,Not given,Not given
President Donald J. Trump,"They said the problem is, no matter how well you run Obamacare, it’s a disaster.",0,Not given,Not given,Not given
President Donald J. Trump,It’s too expensive.,0,Not given,Not given,Not given
President Donald J. Trump,"Premiums are too high, that it doesn’t work.",0,Not given,Not given,Not given
President Donald J. Trump,So we do want to get rid of it.,0,Not given,Not given,Not given
President Donald J. Trump,"Chris, we want to get rid of that and give something that’s cheaper and better.",0,Not given,Not given,Not given
Chris Wallace,"I understand that, sir.",0,Not given,Not given,Not given
Chris Wallace,But I have to give you roughly equal time.,0,Not given,Not given,Not given
President Donald J. Trump,Go ahead.,0,Not given,Not given,Not given
Chris Wallace,"Please let the Vice President talk, sir.",0,Not given,Not given,Not given
President Donald J. Trump,Good.,0,Not given,Not given,Not given
Vice President Joe Biden,He has no plan for healthcare.,0,Not given,Not given,Not given
President Donald J. Trump,"Of course, we do.",0,Not given,Not given,Not given
Chris Wallace,Please.,0,Not given,Not given,Not given
Vice President Joe Biden,He sends out wishful thinking.,0,Not given,Not given,Not given
Vice President Joe Biden,He has Executive Orders that have no power.,0,Not given,Not given,Not given
Vice President Joe Biden,He hasn’t lowered drug costs for anybody.,0,Not given,Not given,Not given
Vice President Joe Biden,He’s been promising a healthcare plan since he got elected.,0,Not given,Not given,Not given
Vice President Joe Biden,"He has none, like almost everything else he talks about.",1,Claim,Not given,Not given
Vice President Joe Biden,He does not have a plan.,0,Not given,Not given,Not given
Vice President Joe Biden,He doesn’t have a plan.,0,Not given,Not given,Not given
Vice President Joe Biden,And the fact is this man doesn’t know what he’s talking about.,0,Not given,Not given,Not given
Vice President Joe Biden,[crosstalk 00:17:14].,0,Not given,Not given,Not given
Chris Wallace,"All right, I have one final question for you.",0,Not given,Not given,Not given
Vice President Joe Biden,Sure.,0,Not given,Not given,Not given
Chris Wallace,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there.",0,Not given,Not given,Not given
Chris Wallace,You call this a distraction by the President.,0,Not given,Not given,Not given
Chris Wallace,"But, in fact, it wasn’t brought up by the President.",0,Not given,Not given,Not given
Chris Wallace,It was brought up by some of your Democratic colleagues in the Congress.,1,Claim,Not given,Not given
Chris Wallace,"So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?",0,Not given,Not given,Not given
Vice President Joe Biden,"Whatever position I take on that, that’ll become the issue.",0,Not given,Not given,Not given
Vice President Joe Biden,The issue is the American people should speak.,0,Not given,Not given,Not given
Vice President Joe Biden,You should go out and vote.,0,Not given,Not given,Not given
Vice President Joe Biden,You’re voting now.,0,Not given,Not given,Not given
Vice President Joe Biden,Vote and let your Senators know strongly how you feel.,0,Not given,Not given,Not given
President Donald J. Trump,Are you going to pack the court?,0,Not given,Not given,Not given
Vice President Joe Biden,Vote now.,0,Not given,Not given,Not given
President Donald J. Trump,Are you going to pack the court?,0,Not given,Not given,Not given
Vice President Joe Biden,"Make sure you, in fact, let people know, your Senators.",0,Not given,Not given,Not given
President Donald J. Trump,He doesn’t want to answer the question.,0,Not given,Not given,Not given
Vice President Joe Biden,I’m not going to answer the question.,1,Not Claim,Not given,Not given
President Donald J. Trump,Why wouldn’t you answer that question?,0,Not given,Not given,Not given
President Donald J. Trump,You want to put a lot of new Supreme Court Justices.,0,Not given,Not given,Not given
